"Parent Molecule ChEMBL ID";"Parent Molecule Name";"Parent Molecule Type";"Max Phase";"First Approval";"USAN Stem";"Smiles";"Mechanism of Action";"Mechanism Comment";"Selectivity Comment";"Target ChEMBL ID";"Target Name";"Action Type";"Target Type";"Target Organism";"Binding Site Name";"Binding Site Comment";"References";"Synonyms";"Parent Molecule ChEMBL ID"
"CHEMBL8030";"TOLIMIDONE";"Small molecule";"2";"None";"";"Cc1cccc(Oc2cnc(=O)[nH]c2)c1";"Tyrosine-protein kinase Lyn positive allosteric modulator";"";"";"CHEMBL3905";"Tyrosine-protein kinase Lyn";"POSITIVE ALLOSTERIC MODULATOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL8030': [{'ref_id': '22473614', 'ref_url': 'https://pubmed.ncbi.nlm.nih.gov/22473614/', 'ref_type': 'PubMed'}]}";"Tolimidone (INN, USAN)|";"CHEMBL8030"
"CHEMBL2029422";"PF-4136309";"Small molecule";"2";"None";"";"O=C(NCC(=O)N1CC[C@H](N[C@H]2CC[C@@](O)(c3ccc(-c4ncccn4)cn3)CC2)C1)c1cccc(C(F)(F)F)c1";"C-C chemokine receptor type 2 antagonist";"";"";"CHEMBL4015";"C-C chemokine receptor type 2";"ANTAGONIST";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL2029422': [{'ref_id': '24900280', 'ref_url': 'https://pubmed.ncbi.nlm.nih.gov/24900280/', 'ref_type': 'PubMed'}]}";"Pf-04136309|Pf-4136309";"CHEMBL2029422"
"CHEMBL571546";"TIRBANIBULIN";"Small molecule";"4";"2020";"'-bulin'";"O=C(Cc1ccc(-c2ccc(OCCN3CCOCC3)cc2)cn1)NCc1ccccc1";"Tyrosine-protein kinase SRC inhibitor";"Targets the peptide substrate-binding site and is a non-ATP competitive inhibitor.";"";"CHEMBL267";"Proto-oncogene tyrosine-protein kinase Src";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL571546': [{'ref_id': '10.1158/1538-7445.AM10-2487', 'ref_url': 'http://cancerres.aacrjournals.org/content/70/8_Supplement/2487', 'ref_type': 'DOI'}, {'ref_id': 'http://www.kinexpharma.com/drug-pipeline/kx01/', 'ref_url': 'http://www.kinexpharma.com/drug-pipeline/kx01/', 'ref_type': 'Other'}, {'ref_id': '21509526', 'ref_url': 'http://europepmc.org/abstract/MED/21509526', 'ref_type': 'PubMed'}, {'ref_id': '23361621', 'ref_url': 'http://europepmc.org/abstract/MED/23361621', 'ref_type': 'PubMed'}]}";"Tirbanibulin mesylate (USAN)|Tirbanibulin (INN, USAN)|";"CHEMBL571546"
"CHEMBL2035187";"PACRITINIB";"Small molecule";"4";"2022";"'-tinib'";"C1=N/C2=N/c3ccc(OCCN4CCCC4)c(c3)COC/C=C/COCc3cccc(c3)C(=C1)N2";"Activin receptor type-1 inhibitor";"";"";"CHEMBL5903";"Activin receptor type-1";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL5095049': [{'ref_id': 'setid=4b5ab444-0e1a-4984-99db-76ad11a298ee', 'ref_url': 'https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4b5ab444-0e1a-4984-99db-76ad11a298ee', 'ref_type': 'DailyMed'}]}";"Pacritinib (INN, USAN, USAN)|";"CHEMBL2035187"
"CHEMBL1738699";"N6022";"Small molecule";"3";"None";"";"Cc1cc(C(N)=O)ccc1-n1c(CCC(=O)O)ccc1-c1ccc(-n2ccnc2)cc1";"Alcohol dehydrogenase class III inhibitor";"";"";"CHEMBL4116";"Alcohol dehydrogenase class-3";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL1738699': [{'ref_id': '24900320', 'ref_url': 'https://pubmed.ncbi.nlm.nih.gov/24900320/', 'ref_type': 'PubMed'}]}";"N-6022|N6022";"CHEMBL1738699"
"CHEMBL362558";"LY-2090314";"Small molecule";"2";"None";"";"O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cc(F)cc13)CN(C(=O)N1CCCCC1)CC2";"Glycogen synthase kinase-3 beta inhibitor";"";"";"CHEMBL262";"Glycogen synthase kinase-3 beta";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL362558': [{'ref_id': '23305709', 'ref_url': 'http://europepmc.org/abstract/MED/23305709', 'ref_type': 'PubMed'}, {'ref_id': '25915038', 'ref_url': 'http://europepmc.org/abstract/MED/25915038', 'ref_type': 'PubMed'}]}";"Ly-2090314";"CHEMBL362558"
"CHEMBL598797";"CUDC-101";"Small molecule";"1";"None";"";"C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1";"Receptor protein-tyrosine kinase erbB-2 inhibitor";"Inhibits class I (HDAC1 HDAC2 HDAC3 HDAC8) and II (HDAC4 HDAC5 HDAC6 HDAC7 HDAC9 HDAC10) HDACs";"";"CHEMBL1824";"Receptor tyrosine-protein kinase erbB-2";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL598797': [{'ref_id': '20143778', 'ref_url': 'http://europepmc.org/abstract/MED/20143778', 'ref_type': 'PubMed'}]}";"Cudc-101";"CHEMBL598797"
"CHEMBL4650485";"PIRTOBRUTINIB";"Small molecule";"4";"2023";"'-tinib'";"COc1ccc(F)cc1C(=O)NCc1ccc(-c2nn([C@@H](C)C(F)(F)F)c(N)c2C(N)=O)cc1";"Tyrosine-protein kinase BTK inhibitor";"";"";"CHEMBL5251";"Tyrosine-protein kinase BTK";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL4650485': [{'ref_id': 'https://cancerdiscovery.aacrjournals.org/content/11/5/998.1', 'ref_url': 'https://cancerdiscovery.aacrjournals.org/content/11/5/998.1', 'ref_type': 'Other'}]}";"Pirtobrutinib (INN, USAN)|";"CHEMBL4650485"
"CHEMBL3039517";"RABUSERTIB";"Small molecule";"2";"None";"'-sertib'";"Cc1cnc(NC(=O)Nc2cc(Br)c(C)cc2OC[C@@H]2CNCCO2)cn1";"Serine/threonine-protein kinase Chk1 inhibitor";"";"";"CHEMBL4630";"Serine/threonine-protein kinase Chk1";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL3039517': [{'ref_id': '24114124', 'ref_url': 'http://europepmc.org/abstract/MED/24114124', 'ref_type': 'PubMed'}]}";"Rabusertib (INN, USAN, USAN)|";"CHEMBL3039517"
"CHEMBL2043025";"TMC-647055";"Small molecule";"2";"None";"";"COc1ccc2c(c1)C=C1Cn3c-2c(C2CCCCC2)c2ccc(cc23)C(=O)NS(=O)(=O)N(C)CCOCCN(C)C1=O";"RNA-directed RNA polymerase inhibitor";"";"";"CHEMBL4296320";"RNA-directed RNA polymerase";"INHIBITOR";"SINGLE PROTEIN";"Hepacivirus hominis";"";"";"{'CHEMBL2043025': [{'ref_id': '24144360', 'ref_url': 'https://pubmed.ncbi.nlm.nih.gov/24144360/', 'ref_type': 'PubMed'}]}";"Tmc-647055";"CHEMBL2043025"
