"Molecule ChEMBL ID";"Parent Molecule ChEMBL ID";"Parent Molecule Name";"Warning Type";"Warning Class";"Description";"Country";"First Withdrawn Year";"EFO ID";"EFO Term";"EFO ID for Warning Class";"References"
"CHEMBL1977579";"CHEMBL1977579";"STREPTOZOCIN";"Black Box Warning";"hematological toxicity";"None";"['United States']";"[None]";"None";"None";"EFO:0011051";"Type: DailyMed RefID: 15d161ed-9e7b-4c92-ba45-0556d2423e67 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=15d161ed-9e7b-4c92-ba45-0556d2423e67"
"CHEMBL786";"CHEMBL83";"TAMOXIFEN";"Black Box Warning";"vascular toxicity";"None";"['United States']";"[None]";"None";"None";"EFO:0011062";"Type: DailyMed RefID: bd72fd53-ae0c-4080-9b7f-2d294b14cc86 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=bd72fd53-ae0c-4080-9b7f-2d294b14cc86|Type: FDA RefID: 1e6ff055-590c-41e6-9530-1fdf04cdbd02 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1e6ff055-590c-41e6-9530-1fdf04cdbd02"
"CHEMBL15770";"CHEMBL15770";"SULINDAC";"Black Box Warning";"neurotoxicity";"None";"['United States']";"[None]";"None";"None";"EFO:0011057";"Type: DailyMed RefID: 473edb3e-ccaa-4a74-8dc8-6a053c52d3e0 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=473edb3e-ccaa-4a74-8dc8-6a053c52d3e0|Type: DailyMed RefID: 6db52fd3-172f-47ab-8aa6-4f3d031c6b25 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6db52fd3-172f-47ab-8aa6-4f3d031c6b25|Type: DailyMed RefID: 96c73bd2-4577-487d-a642-bd8f91e94c3a URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=96c73bd2-4577-487d-a642-bd8f91e94c3a|Type: DailyMed RefID: a47e4259-d44b-4b7b-b517-841cb6840982 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a47e4259-d44b-4b7b-b517-841cb6840982|Type: FDA RefID: d150c3f3-c267-4d48-9502-4700670c954b URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d150c3f3-c267-4d48-9502-4700670c954b|Type: FDA RefID: d94e8865-d151-4fb1-bacd-f4e43819e3c2 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d94e8865-d151-4fb1-bacd-f4e43819e3c2|Type: FDA RefID: 1fffe88d-50c8-45cf-ac7c-a62b665c89a8 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1fffe88d-50c8-45cf-ac7c-a62b665c89a8"
"CHEMBL94394";"CHEMBL94394";"BUFEXAMAC";"Withdrawn";"dermatological toxicity";"risks of serious skin reactions from bufexamac outweigh any possible benefits when used for the treatment of insect bites, stings and itches, and minor burns and sunburn";"['Madagascar', 'European Union', 'New Zealand']";"[2010, 2010, 2010]";"EFO:0006346";"severe cutaneous adverse reaction";"EFO:0011048";"Type: MEDSAFE RefID: safety/Alerts/Medicines_containing_bufexamac_revoked.asp URL: https://www.medsafe.govt.nz/safety/Alerts/Medicines_containing_bufexamac_revoked.asp"
"CHEMBL1017";"CHEMBL1017";"TELMISARTAN";"Black Box Warning";"teratogenicity";"None";"['United States']";"[None]";"None";"None";"EFO:0009880";"Type: DailyMed RefID: c3658bc8-1524-43db-930e-66f9ac01b808 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c3658bc8-1524-43db-930e-66f9ac01b808|Type: DailyMed RefID: cfb9309f-e0df-4a55-9542-0e869fce05fb URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=cfb9309f-e0df-4a55-9542-0e869fce05fb|Type: DailyMed RefID: 8bdd116a-acc8-2d2b-e053-2a95a90a2b5b URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8bdd116a-acc8-2d2b-e053-2a95a90a2b5b|Type: DailyMed RefID: 6dd7ec79-72eb-4729-af1b-483125ccf8aa URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6dd7ec79-72eb-4729-af1b-483125ccf8aa|Type: FDA RefID: 81c2ee77-f3ce-4366-a609-457442509457 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=81c2ee77-f3ce-4366-a609-457442509457|Type: FDA RefID: 44e810d4-cf04-41d3-bdf8-0681210a669f URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=44e810d4-cf04-41d3-bdf8-0681210a669f|Type: FDA RefID: 56a72ddf-c2a2-45ce-91b1-1fcfbff52c10 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=56a72ddf-c2a2-45ce-91b1-1fcfbff52c10|Type: FDA RefID: e1a907a7-fad9-a860-8639-4c6136c85734 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e1a907a7-fad9-a860-8639-4c6136c85734"
"CHEMBL1201467";"CHEMBL1201467";"SYNTHETIC CONJUGATED ESTROGENS, B";"Black Box Warning";"None";"None";"['United States']";"[None]";"None";"None";"None";""
"CHEMBL3301680";"CHEMBL507870";"TELAVANCIN";"Black Box Warning";"nephrotoxicity";"None";"['United States']";"[None]";"None";"None";"EFO:0011056";"Type: DailyMed RefID: c09655ea-7af5-4443-a769-86e416214f59 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c09655ea-7af5-4443-a769-86e416214f59|Type: FDA RefID: 5359b759-db7c-4672-9e8a-59c93869bd91 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5359b759-db7c-4672-9e8a-59c93869bd91"
"CHEMBL15870";"CHEMBL15870";"INDOPROFEN";"Withdrawn";"carcinogenicity";"Animal Carcinogenicity (rodent); Gastrointestinal Toxicity";"['Worldwide']";"[1983]";"EFO:0011046";"carcinogenicity";"EFO:0011046";"Type: DOI RefID: 10.1177/009286150103500134 URL: https://doi.org/10.1177/009286150103500134|Type: PubMed RefID: 7628177 URL: http://europepmc.org/abstract/MED/7628177|Type: WHO RefID: CL12.pdf URL: https://www.un.org/esa/coordination/CL12.pdf"
"CHEMBL3989887";"CHEMBL269732";"TACROLIMUS ANHYDROUS";"Black Box Warning";"carcinogenicity";"None";"['United States']";"[None]";"None";"None";"EFO:0011046";"Type: DailyMed RefID: 51218de3-dabc-4972-9c5b-750c8b1d8083 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=51218de3-dabc-4972-9c5b-750c8b1d8083|Type: DailyMed RefID: 4caa20af-45a8-4365-9f06-1568afae61b1 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4caa20af-45a8-4365-9f06-1568afae61b1|Type: DailyMed RefID: 5f742224-618e-4f4c-bdec-7693be99c697 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5f742224-618e-4f4c-bdec-7693be99c697|Type: DailyMed RefID: 1bf44a84-14fd-4f80-ad8a-99b1431d631f URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1bf44a84-14fd-4f80-ad8a-99b1431d631f|Type: FDA RefID: d93e6b15-8bd4-4d0f-9a18-e232e5b1161a URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d93e6b15-8bd4-4d0f-9a18-e232e5b1161a|Type: FDA RefID: 329850b7-d07d-4cec-901d-f6f20710125f URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=329850b7-d07d-4cec-901d-f6f20710125f"
"CHEMBL452231";"CHEMBL452231";"TENIPOSIDE";"Black Box Warning";"hematological toxicity";"None";"['United States']";"[None]";"None";"None";"EFO:0011051";"Type: DailyMed RefID: f19cf6d7-a1c8-42ec-844c-c798512139d9 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f19cf6d7-a1c8-42ec-844c-c798512139d9"
